,initial_distance,time_cost,global_min_dis
0,1461.0003732707094,44.37,836.1838634721939
1,1477.5423098281512,41.99,849.8390648835095
2,1470.3699421750432,40.82,876.8000151935977
3,1546.588548516939,40.4,834.6659264858823
4,1488.5972771379952,41.53,835.6429828703435
5,1420.7579002308225,41.44,891.8561278264991
6,1517.9448047517335,42.69,848.7530269022311
7,1537.7566879200033,40.74,884.0721778020836
8,1499.391797626964,40.86,794.7860567540548
9,1531.9715479870463,44.66,891.0717686667871
10,1427.185126443485,44.99,840.2299621310549
11,1501.7579660540764,43.69,865.778082303963
12,1562.034448531147,43.48,870.879679501864
13,1510.9171333766737,43.69,855.6002463083532
14,1460.1902031442905,44.72,825.5169554470802
15,1399.763017836392,43.17,817.8923862826786
16,1545.8649122782672,43.04,884.7300219720348
17,1511.8570400265953,44.91,876.4556711509757
18,1491.6630511810108,43.65,871.3303326391984
19,1517.1089997859442,46.69,829.9806419034389
20,1509.827383816406,47.51,858.2567044304157
21,1487.06040259385,47.69,775.7626803062606
22,1502.0228607709591,49.09,862.0136291834118
23,1498.7012552834929,45.88,858.6814255883498
24,1514.202546705609,48.26,872.9506114507801
25,1542.5054492082877,47.57,840.2566385511286
26,1548.0720131784988,48.95,849.9761075922021
27,1500.0430737603942,46.92,820.4631829534588
28,1452.6702330033177,45.42,810.9838363110166
29,1455.617325555517,47.46,834.2717011236889
