,initial_distance,time_cost,global_min_dis
0,240834.52130647417,337.72,228289.1752112939
1,248131.5040274358,341.61,237118.02362158563
2,243361.39308123765,357.88,239780.1631177371
3,245559.4553691062,340.45,228369.31341257796
4,241449.1948943295,339.11,230525.21146715007
5,249152.45498310652,333.9,240532.09355772263
6,246994.99566147523,321.34,242120.13932533906
7,240520.0216411738,311.03,224397.66888294675
8,243393.03752767504,311.57,235565.3588936858
9,251799.86510804045,309.34,223139.78141198968
10,245013.41268134024,311.52,234160.20289172276
11,249557.33771556107,309.69,240605.44860319185
12,230068.22174533195,310.38,216399.11230763394
13,226983.4200470552,312.68,220618.4979357624
14,236701.97546950486,307.92,227098.09003524846
15,236551.63465908341,312.94,215626.4711907816
16,244961.76820553537,310.65,233470.22404824605
17,243639.94210212,308.97,218193.1590096202
18,253802.2251724104,309.64,244184.82543514168
19,239220.69381034267,310.56,232407.5810461824
20,252517.83686611083,309.48,246641.98746022867
21,247563.8922615546,309.29,228647.68301167522
22,248076.70025082803,309.09,238045.4228604021
23,249541.64936740545,314.69,218777.0369357807
24,243418.72351044836,315.18,239141.32041634514
25,249909.97781564502,315.2,237014.52736130884
26,226171.60974963004,325.5,224284.15362412823
27,247438.2018114705,322.05,234742.5469945715
28,237419.10238132757,323.62,222936.68558932224
29,260880.8860925283,313.46,253771.15411312776
