,initial_distance,time_cost,global_min_dis
0,99934.458859631,176.62,89907.40414001448
1,103836.92239577588,173.36,91946.33029188217
2,101188.00752782871,174.63,88067.95475630414
3,101330.4836151011,175.78,92922.69139593859
4,102909.6286033804,178.03,94174.35509461073
5,103476.30624787253,174.36,91957.39001292654
6,103658.52315601666,173.91,88734.93107523896
7,100859.27938183301,176.84,90069.69816418811
8,101225.75370110027,176.38,94013.76474129436
9,103583.03068718124,177.34,86598.06819461135
10,101248.01479066558,177.74,88944.75457243124
11,101038.77408187336,172.4,88522.2069413746
12,103969.74393539116,172.06,94565.88467122149
13,104569.51794660652,174.86,91485.51846752467
14,102481.87465201652,177.94,97577.89536550586
15,101581.69215776303,177.79,91440.25244366971
16,103742.52036621164,181.49,94175.25235953981
17,99490.90231676595,176.72,90287.72234704114
18,104640.11992859977,173.96,90794.4782328213
19,102612.22806711325,173.64,97833.51902963399
20,100393.39063044422,178.58,93922.5446530387
21,101083.32109634613,178.58,93314.14949922767
22,100182.89680752836,176.63,95739.59814024491
23,103261.71659217101,179.75,91438.79389281104
24,100555.04573274785,176.74,89136.94328456865
25,103437.25722567092,174.21,97011.8100312428
26,99078.51856669736,173.49,92979.35100651623
27,100693.45108294518,174.56,92381.72314778865
28,102544.99685834361,184.54,92112.80007568654
29,102980.08768186334,174.21,92651.87162979905
