,initial_distance,time_cost,global_min_dis
0,811.8079225447264,45.0,709.3554268565795
1,817.6917213681511,42.93,741.3968089823488
2,805.7444932190408,42.52,721.3034472959881
3,805.5578376497151,43.56,666.0813531775129
4,810.422466806976,42.36,724.8219127121586
5,820.1441692605973,42.14,718.9670742125664
6,776.9945782295473,42.29,712.1145157699971
7,811.4346008253781,42.69,703.1417876134425
8,781.4292002041815,44.41,685.8789253946647
9,782.7283937011089,44.72,694.6190467417603
10,814.6866642039846,47.36,685.5481464529812
11,779.078686118197,48.06,715.9327361107624
12,756.5425980733439,45.91,688.6921859274198
13,818.8820476576201,45.33,751.0291037258667
14,831.5775646225518,47.7,720.0616994804294
15,795.7033708609766,45.95,733.8233264958722
16,801.864889665233,48.09,724.7661136318146
17,784.7659682638207,46.47,665.4715181706197
18,804.9020226907602,44.57,699.3915673477732
19,788.5457233552811,48.81,689.9357767393187
20,816.58129120508,47.74,732.365474755482
21,805.5010698002774,44.83,730.9825352692683
22,844.6385909908214,44.56,770.9333668323909
23,792.0949729269015,44.32,683.6785459257795
24,809.7197091261841,45.53,712.7072935019777
25,829.6979650663432,46.67,696.1536633414621
26,850.3137031699894,45.26,704.9345499675076
27,803.2884068814096,45.75,665.0746050916542
28,763.2573868781022,43.62,734.0851753532752
29,791.402743117698,42.5,692.2698327966709
