,initial_distance,time_cost,global_min_dis
0,259408.96494047483,71.49,239055.74271413038
1,261532.03762249163,77.65,238903.7474888734
2,266573.8403330857,74.24,236876.0846427308
3,261783.84622903794,69.75,234887.09796006812
4,263727.87388141244,70.06,242593.98992677726
5,267571.6563477409,70.02,233751.82203595818
6,243233.90213094937,68.93,222682.07938259735
7,244512.27298759183,68.23,228560.6193254861
8,244623.79828739242,68.76,220854.62288286397
9,257389.9740806668,69.33,241304.85907378103
10,268583.79088790616,68.74,221974.49028448018
11,250205.37201851324,67.78,232392.71808803684
12,265390.6061039867,69.93,228005.43328852401
13,260554.80860907445,68.52,242365.83466798477
14,258226.42892049608,67.28,228948.32680686898
15,255875.4661532753,67.13,234662.0314104844
16,238157.1092218458,67.76,219267.0436731074
17,263142.77677621634,67.29,228684.27588010623
18,254331.93352446848,69.95,241498.74885181646
19,250075.0849025432,69.41,220695.31706652622
20,253629.58074142985,69.1,233840.20103288355
21,263640.5023188928,68.84,243847.6846248673
22,254148.8724047763,71.91,229534.66921559442
23,257169.17675619197,70.1,218015.81339532323
24,250020.8724065702,69.03,244828.26930331328
25,253623.15076485043,68.57,230865.28474212534
26,256699.4356458882,68.53,238240.39358993285
27,256189.00208465374,68.0,231197.52548913567
28,247630.44426937972,68.2,222698.65284440087
29,250047.71467003727,69.45,239773.4588664267
