,initial_distance,time_cost,global_min_dis
0,1592072.2474697144,206.44,815472.8274027564
1,1614957.1540384002,197.11,766491.8940892327
2,1609067.1897027527,204.41,837885.0993639664
3,1589726.411027221,203.27,792954.0584674955
4,1603317.0255625066,199.69,821589.8608575987
5,1581493.7127111086,201.16,795670.6464634908
6,1639190.0954856586,197.7,841039.3411525986
7,1636212.8467363648,197.09,793305.1497124471
8,1610192.0117229903,205.69,776334.5659584632
9,1620026.2093224477,195.79,776184.3268316964
10,1639121.673014493,195.08,833011.4446305739
11,1623909.4828467923,201.53,820184.7273241701
12,1620134.9260389921,193.92,812169.8529013998
13,1618084.4575034739,197.88,794248.1779977297
14,1634575.338300537,195.89,801689.3755801657
15,1633692.7746626546,203.73,817406.983560311
16,1593929.404498186,202.94,804049.4146712157
17,1606302.766866705,208.95,838796.2971623216
18,1623582.4599893282,202.52,761926.9967777648
19,1611291.478311172,208.67,828617.44589827
20,1602159.8023829728,199.85,791770.5264100101
21,1638578.1814357028,202.58,794320.0729357331
22,1532232.8365144306,214.79,810912.4503063658
23,1599135.190641462,206.53,780047.2789019039
24,1614236.504487014,212.05,771855.337893575
25,1636400.4255990954,201.32,786637.7126858673
26,1649991.78589957,202.21,795985.6774955544
27,1630988.8271852294,204.14,838585.4176906241
28,1599031.4006847139,200.71,796913.891460639
29,1643751.5283200615,194.43,770101.2970069573
