,initial_distance,time_cost,global_min_dis
0,564027.2637118918,65.39,315072.6356733785
1,537066.8738111049,64.4,302500.55622679665
2,560244.2439121044,64.64,320476.08396078955
3,550263.7566571018,63.57,318595.02072444244
4,557096.5558072781,65.39,304585.8967596877
5,554086.9624554195,62.87,294754.18003640784
6,570663.2941445059,64.02,302209.9516571487
7,525532.3494046187,68.05,296181.0169168754
8,551868.1856231674,66.44,316324.8707185478
9,543037.2287506012,64.8,315839.1403842764
10,566469.2137224406,65.24,318127.09212656127
11,554272.7836297107,66.19,304178.4929173458
12,562518.303577424,68.01,312181.19783429237
13,536029.0606613478,65.53,314908.08337346406
14,520267.5541102778,64.23,330005.8195726949
15,530999.2226782893,66.82,326685.84843244834
16,554611.2106965987,65.99,315097.7480841434
17,558349.6981259428,65.83,320277.96146924206
18,526926.950355208,65.77,323802.7206679987
19,561623.8968749751,64.38,309481.19429958507
20,559815.4866092614,67.75,318235.27560307115
21,547937.0089361025,64.94,313918.6137390184
22,556847.705002906,63.42,308532.7800969179
23,547768.5837454763,65.59,294878.46151535545
24,536655.0110573522,63.34,311843.81073140725
25,534488.0775523671,63.93,301975.6404857582
26,543056.8331391476,64.14,316878.60335691634
27,547214.1298451889,63.8,305150.94743781904
28,552848.217251014,66.49,324682.1764337594
29,555281.3892606981,67.45,317036.7774533355
