,initial_distance,time_cost,global_min_dis
0,149487.57750361582,95.34,78479.68283775776
1,151062.56079566423,86.81,83545.83635297415
2,155706.78619226688,89.81,82094.6225453622
3,147799.95502855512,93.29,79760.03844494003
4,148844.12768650913,85.46,75405.14811801631
5,145608.06203537298,83.59,81105.32076171055
6,148161.1535669343,84.32,74025.94249337229
7,153875.82576553398,86.67,73255.8163166346
8,155402.43585997916,91.85,78484.73327985485
9,150738.8398583538,84.42,78181.54468763726
10,152335.31201577993,89.06,76407.88746951823
11,149953.12861613216,92.73,77139.96620878251
12,149364.54344096378,89.14,71928.01134196256
13,149150.90943207877,89.7,77520.31380314505
14,142733.16344932554,88.5,75242.55314717833
15,151430.67977188062,88.04,76039.63830102402
16,146895.3505196767,92.36,77410.65406414
17,148333.44801937352,86.69,78653.02656594766
18,144222.3253777056,89.82,79177.53908689463
19,156083.98263803712,90.86,79091.41317236092
20,150045.3107710404,87.92,81796.71181499388
21,154741.891951082,85.16,80913.62877143963
22,151749.1302431399,84.52,77431.01209992579
23,149556.51211567214,86.21,79047.31224386596
24,149988.61371658614,91.6,78196.7235276698
25,149631.86398417846,87.53,75361.90406947114
26,148330.55992680677,87.66,77750.87154137267
27,152318.43589905257,93.49,77253.79847768672
28,150951.5448244266,86.11,82397.95544157815
29,151496.0220882322,89.59,69563.80851304201
